                                                                                                                                                                                                                                                                            28 Jan 2026 18:20:01
SatelliteCollection-constellation


RowNumber          Name               Epoch (UTCG)          Ephemeris Start Time (UTCG)    Ephemeris Stop Time (UTCG)     ID    Shell    Plane    Slot    Altitude (km)    SemimajorAxis (km)    Eccentricity    Inclination (deg)    ArgumentOfPerigee (deg)    RAAN (deg)    TrueAnomaly (deg)
      105    Shell_1_P06_S05    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    104    1        06       5          949.863000           7328.000000        0.000000               62.900                      0.000       363.500              162.000
      106    Shell_1_P06_S06    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    105    1        06       6          949.863000           7328.000000        0.000000               62.900                      0.000       363.500              180.000
      107    Shell_1_P06_S07    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    106    1        06       7          949.863000           7328.000000        0.000000               62.900                      0.000       363.500              198.000
      108    Shell_1_P06_S08    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    107    1        06       8          949.863000           7328.000000        0.000000               62.900                      0.000       363.500              216.000
      109    Shell_1_P06_S09    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    108    1        06       9          949.863000           7328.000000        0.000000               62.900                      0.000       363.500              234.000
      110    Shell_1_P06_S10    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    109    1        06       10         949.863000           7328.000000        0.000000               62.900                      0.000       363.500              252.000
      111    Shell_1_P06_S11    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    110    1        06       11         949.863000           7328.000000        0.000000               62.900                      0.000       363.500              270.000
      112    Shell_1_P06_S12    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    111    1        06       12         949.863000           7328.000000        0.000000               62.900                      0.000       363.500              288.000
      113    Shell_1_P06_S13    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    112    1        06       13         949.863000           7328.000000        0.000000               62.900                      0.000       363.500              306.000
      114    Shell_1_P06_S14    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    113    1        06       14         949.863000           7328.000000        0.000000               62.900                      0.000       363.500              324.000
      115    Shell_1_P06_S15    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    114    1        06       15         949.863000           7328.000000        0.000000               62.900                      0.000       363.500              342.000
      116    Shell_1_P06_S16    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    115    1        06       16         949.863000           7328.000000        0.000000               62.900                      0.000       363.500              360.000
      117    Shell_1_P06_S17    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    116    1        06       17         949.863000           7328.000000        0.000000               62.900                      0.000       363.500              378.000
